week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,0,0
2010-11-01,0,0
2010-11-08,0,0
2010-11-15,1,0
2010-11-22,1,0
2010-11-29,1,0
2010-12-06,1,0
2010-12-13,1,0
2010-12-20,1,0
2010-12-27,1,0
2011-01-03,1,0
2011-01-10,1,0
2011-01-17,1,0
2011-01-24,1,0
2011-01-31,3,0
2011-02-07,3,0
2011-02-14,3,0
2011-02-21,3,0
2011-02-28,4,1
2011-03-07,4,1
2011-03-14,4,2
2011-03-21,5,2
2011-03-28,5,2
2011-04-04,5,3
2011-04-11,5,3
2011-04-18,5,3
2011-04-25,5,3
2011-05-02,5,3
2011-05-09,5,3
2011-05-16,6,3
2011-05-23,6,3
2011-05-30,6,3
2011-06-06,6,3
2011-06-13,6,3
2011-06-20,7,3
2011-06-27,8,3
2011-07-04,8,3
2011-07-11,8,3
2011-07-18,8,3
2011-07-25,8,3
2011-08-01,8,3
2011-08-08,8,3
2011-08-15,8,3
2011-08-22,8,3
2011-08-29,8,3
2011-09-05,9,3
2011-09-12,9,3
2011-09-19,9,3
2011-09-26,9,3
2011-10-03,9,3
2011-10-10,9,3
2011-10-17,9,3
2011-10-24,9,3
2011-10-31,9,3
2011-11-07,9,3
2011-11-14,9,3
2011-11-21,9,3
2011-11-28,9,3
2011-12-05,9,3
2011-12-12,9,3
2011-12-19,9,3
2011-12-26,9,3
2012-01-02,9,3
2012-01-09,9,3
2012-01-16,9,3
2012-01-23,9,3
2012-01-30,9,3
2012-02-06,9,3
2012-02-13,9,3
2012-02-20,9,3
2012-02-27,9,3
2012-03-05,9,3
2012-03-12,9,3
2012-03-19,10,3
2012-03-26,10,4
2012-04-02,10,4
2012-04-09,10,4
2012-04-16,10,4
2012-04-23,10,4
2012-04-30,10,4
2012-05-07,10,4
2012-05-14,10,4
2012-05-21,10,4
2012-05-28,10,4
2012-06-04,10,4
2012-06-11,10,4
2012-06-18,10,4
2012-06-25,10,4
2012-07-02,10,4
2012-07-09,10,4
2012-07-16,10,4
2012-07-23,10,4
2012-07-30,10,4
2012-08-06,10,4
2012-08-13,11,4
2012-08-20,11,4
2012-08-27,11,4
2012-09-03,11,4
2012-09-10,11,4
2012-09-17,11,4
2012-09-24,11,4
2012-10-01,11,4
2012-10-08,11,4
2012-10-15,11,4
2012-10-22,11,4
2012-10-29,11,4
2012-11-05,11,4
2012-11-12,11,4
2012-11-19,11,4
2012-11-26,11,4
2012-12-03,11,4
2012-12-10,11,4
2012-12-17,12,4
2012-12-24,12,4
2012-12-31,12,4
2013-01-07,12,4
2013-01-14,12,4
2013-01-21,12,4
2013-01-28,12,4
2013-02-04,12,4
2013-02-11,12,4
2013-02-18,12,4
2013-02-25,12,4
2013-03-04,12,4
2013-03-11,12,4
2013-03-18,12,5
2013-03-25,12,5
2013-04-01,12,5
2013-04-08,12,5
2013-04-15,12,5
2013-04-22,13,5
2013-04-29,13,5
2013-05-06,14,5
2013-05-13,14,5
2013-05-20,14,5
2013-05-27,15,5
2013-06-03,15,5
2013-06-10,15,5
2013-06-17,15,5
2013-06-24,15,5
2013-07-01,15,5
2013-07-08,15,5
2013-07-15,15,5
2013-07-22,15,6
2013-07-29,15,6
2013-08-05,15,6
2013-08-12,15,6
2013-08-19,15,6
2013-08-26,15,6
2013-09-02,15,6
2013-09-09,15,6
2013-09-16,17,6
2013-09-23,17,6
2013-09-30,18,6
2013-10-07,19,6
2013-10-14,20,7
2013-10-21,20,7
2013-10-28,20,7
2013-11-04,20,7
2013-11-11,20,7
2013-11-18,20,7
2013-11-25,20,7
2013-12-02,20,7
2013-12-09,20,7
2013-12-16,20,7
2013-12-23,20,7
2013-12-30,20,7
2014-01-06,20,7
2014-01-13,20,7
2014-01-20,20,7
2014-01-27,20,7
2014-02-03,21,7
2014-02-10,21,7
2014-02-17,21,7
2014-02-24,21,7
2014-03-03,21,7
2014-03-10,21,7
2014-03-17,22,7
2014-03-24,23,7
2014-03-31,23,7
2014-04-07,23,7
2014-04-14,23,7
2014-04-21,23,7
2014-04-28,23,7
2014-05-05,23,7
2014-05-12,24,7
2014-05-19,24,7
2014-05-26,25,7
2014-06-02,25,7
2014-06-09,26,7
2014-06-16,26,7
2014-06-23,26,7
2014-06-30,28,7
2014-07-07,28,7
2014-07-14,28,7
2014-07-21,30,8
2014-07-28,30,8
2014-08-04,30,8
2014-08-11,31,8
2014-08-18,31,8
2014-08-25,31,8
2014-09-01,31,8
2014-09-08,31,8
2014-09-15,32,8
2014-09-22,32,8
2014-09-29,32,9
2014-10-06,33,9
2014-10-13,33,9
2014-10-20,33,9
2014-10-27,34,9
2014-11-03,34,9
2014-11-10,34,9
2014-11-17,35,9
2014-11-24,35,9
2014-12-01,35,9
2014-12-08,35,9
2014-12-15,35,9
2014-12-22,35,9
2014-12-29,35,9
2015-01-05,35,9
2015-01-12,35,9
2015-01-19,35,9
2015-01-26,35,9
2015-02-02,35,9
2015-02-09,35,9
2015-02-16,35,9
2015-02-23,35,9
2015-03-02,35,9
2015-03-09,35,9
2015-03-16,35,9
2015-03-23,35,9
2015-03-30,35,9
2015-04-06,36,9
2015-04-13,36,9
2015-04-20,37,9
2015-04-27,37,10
2015-05-04,37,10
2015-05-11,37,10
2015-05-18,38,10
2015-05-25,39,10
2015-06-01,39,10
2015-06-08,39,10
2015-06-15,39,10
2015-06-22,42,10
2015-06-29,42,10
2015-07-06,42,10
2015-07-13,42,10
2015-07-20,42,12
2015-07-27,42,12
2015-08-03,43,12
2015-08-10,43,12
2015-08-17,44,12
2015-08-24,45,12
2015-08-31,45,12
2015-09-07,45,12
2015-09-14,45,12
2015-09-21,45,12
2015-09-28,45,12
2015-10-05,45,12
2015-10-12,45,12
2015-10-19,45,12
2015-10-26,45,12
2015-11-02,45,13
2015-11-09,45,13
2015-11-16,45,13
2015-11-23,45,13
2015-11-30,45,13
2015-12-07,45,13
2015-12-14,46,13
2015-12-21,46,13
2015-12-28,46,13
2016-01-04,46,13
2016-01-11,46,13
2016-01-18,46,13
2016-01-25,46,13
2016-02-01,46,13
2016-02-08,46,13
2016-02-15,46,13
2016-02-22,47,13
2016-02-29,47,13
2016-03-07,48,13
2016-03-14,48,13
2016-03-21,48,13
2016-03-28,48,13
2016-04-04,48,13
2016-04-11,48,13
2016-04-18,48,13
2016-04-25,48,14
2016-05-02,48,14
2016-05-09,48,14
2016-05-16,48,14
2016-05-23,48,14
